Date of Intent,Intent Source,Domain,Visit Type - Intent Drill Down
12/06/2024,Gartner,emerson.com,Compared With Other Products
12/09/2024,Gartner,teachforindia.org,Looked at Pricing
12/09/2024,Gartner,aujas.com,Compared With Other Products
12/06/2024,ZoomIntent,cognizant.com,Looked at Product Category
12/06/2024,ZoomIntent,tcs.com,Looked at Product Category
12/06/2024,ZoomIntent,6sense.com,Looked at Product Category
12/06/2024,ZoomIntent,ibm.com,Looked at Product Category
12/06/2024,ZoomIntent,dell.com,Looked at Product Category
12/06/2024,ZoomIntent,wipro.com,Looked at Product Category
12/06/2024,ZoomIntent,capgemini.com,Looked at Product Category
12/06/2024,ZoomIntent,infosys.com,Looked at Product Category
12/06/2024,ZoomIntent,hcl.com,Looked at Product Category
12/06/2024,ZoomIntent,cisco.com,Looked at Pricing
12/06/2024,ZoomIntent,hpe.com,Looked at Demo Page
12/06/2024,ZoomIntent,ey.com,Looked at Demo Page
12/06/2024,ZoomIntent,verticurl.com,Looked at Demo Page
12/06/2024,ZoomIntent,kyndryl.com,Looked at Demo Page
12/06/2024,ZoomIntent,deloitte.com,Looked at Demo Page
12/06/2024,Websights,ltimindtree.com,Looked at Demo Page
12/06/2024,Websights,microsoft.com,Compared With Other Products
12/06/2024,Websights,techmahindra.com,Compared With Other Products
12/06/2024,Websights,fortinet.com,Compared With Other Products
12/06/2024,Websights,srmist.edu.in,Compared With Other Products
12/06/2024,Capterra,amazon.com,Compared With Other Products
12/06/2024,Capterra,google.com,Compared With Other Products
12/09/2024,Capterra,sprinklr.com,Compared With Other Products
12/09/2024,Capterra,ericsson.com,Compared With Other Products
12/09/2024,Capterra,redhat.com,Looked at Pricing
12/09/2024,Capterra,databricks.com,Looked at Pricing
12/09/2024,Capterra,opentext.com,Looked at Pricing
12/09/2024,Capterra,oracle.com,Looked at Pricing
12/09/2024,Capterra,epam.com,Looked at Pricing
12/09/2024,Capterra,nagarro.com,Looked at Pricing
12/09/2024,Capterra,celebaltech.com,Looked at Pricing
12/09/2024,Capterra,chargebee.com,Looked at Pricing
12/09/2024,Capterra,avalara.com,Looked at Pricing
12/09/2024,Capterra,dxc.com,Checked out Alternatives
12/09/2024,Capterra,akamai.com,Checked out Alternatives
12/09/2024,Capterra,nokia.com,Checked out Alternatives
12/09/2024,Capterra,publicissapient.com,Checked out Alternatives
12/09/2024,Capterra,jll.com,Checked out Alternatives
12/09/2024,Capterra,qlik.com,Checked out Alternatives
12/09/2024,Capterra,nvidia.com,Checked out Alternatives
12/09/2024,Capterra,philips.com,Looked at Demo Page
12/09/2024,Capterra,persistent.com,Looked at Demo Page
12/09/2024,Capterra,tatacommunications.com,Looked at Demo Page
12/09/2024,Capterra,progress.com,Looked at Demo Page
12/06/2024,Gartner,vitstudent.ac.in,Looked at Product Category
12/06/2024,Gartner,bits-pilani.ac.in,Looked at Product Category
